channel,message_id,date,text,source
data_hr,1250,2026-01-26 08:25:47,"Data Never Lies is a UK-based data consultancy helping businesses replace guesswork with clear, actionable insights. We work with messy, real-world data and turn it into dashboards and reports that people actually understand and use.

We’re looking for a Middle Data Analyst to work with SQL, Tableau, and a wide range of data sources, helping both our clients and internal team make sense of their numbers.

Responsibilities
Data analysis and extraction from SQL databases and spreadsheets, building clear dashboards and reports in Tableau, automating routine reporting tasks, and communicating insights and issues with the team and stakeholders.

Requirements
Strong SQL skills (joins, subqueries, solid foundations), hands-on experience with Tableau, basic conversational English for discussing data and visualizations, and a practical, problem-solving mindset. Experience working with messy or imperfect data is a big plus.

Conditions
Fully remote position with a flexible, task-focused schedule. UK-based company with an international team. Opportunity to work on diverse projects across multiple industries and grow your technical and analytical skills.

Salary
Discussed individually, based on experience and workload.

👉 Full role details and application instructions:
https://data-never-lies.zohorecruit.eu/jobs/Careers/87888000000537495/Tableau-Middle-Business-Intelligence-Analyst?source=CareerSite",telegram
data_hr,1242,2026-01-13 12:33:26,"Data Never Lies is a UK-based data consultancy helping businesses replace guesswork with clear, actionable insights. We’re looking for a Part-Time People Manager to build our candidate community, improve people operations, and shape a strong internal culture as we scale.

Responsibilities
Recruiting & candidate community growth, people operations (contracts, onboarding, payouts), and internal culture & events in a fully remote team.

Requirements
Experience in People/HR/Talent in tech or agencies, strong conversational English, proactive and people-focused mindset. Russian is a plus.

Conditions
Remote position with flexible schedule. HQ in the UK. Part-time with gradual ramp-up and long-term growth potential (up to Head of People).

Salary
Discussed individually, based on experience and workload.

Full description & how to apply
👉 Full role details and application instructions: https://data-never-lies.zohorecruit.eu/jobs/Careers/87888000000489378/Part-time-People-Manager-Data-Never-Lies?source=CareerSite

Contact @lovely_bun",telegram
data_hr,1236,2025-12-25 14:16:39,"#вакансия
Позиция: Дата-аналитик (Graph Analyst)
Уровень: Middle / Senior
Вилка: 200-400к
Компания: T-Bank
Локация: Москва, м. Белорусская
Требования:
Продвинутые знания SQL
Уверенное проведение бизнес-анализа и выявление требований
Умение определять ключевые целевые метрики бизнеса и продуктов
Хороший уровень владения Python и способность разбираться в новых библиотеках и взаимодействии с сервисами
Опыт работы с машинным обучением (ML) — будет преимуществом
Умение мыслить на уровне продуктов и бизнес-задач

Обязанности:
Развитие продукта графа связей: поиск новых источников связей между клиентами
Интеграция графовых данных в ключевые продукты банка
Генерация и исследование новых гипотез на данных

Кейсы, над которыми будешь работать:
Фрод и безопасность: выявление мошеннических схем через поиск цепочек связей  
Кредитный скоринг: оценка рисков через анализ окружения
Рекомендательные системы: построение социального портрета клиента для персонализированных предложений
Продажи в экосистеме: поиск естественных точек роста через связи клиента с партнёрами и сервисами
Связи в SME/корпоративном сегменте: анализ связей между юрлицами, их бенефициарами и поставщиками для снижения рисков и поиска новых клиентов



По вакансии писать: @markkutt",telegram
data_hr,1164,2025-10-08 14:49:13,"#Вакансия #аналитик #Product #Productanalyst #Dataanalyst #Middle #Senior #remote #удаленно #fulltime #весьмир

Продуктовый аналитик

Ищем продуктовых аналитиков в Точку. Точка — это финтех-компания. Мы развиваем онлайн-банк и другие сервисы для бизнеса. Ими пользуются более 600 000 клиентов, а создают больше 4000 сотрудников Точки в России и заграницей.

📍До 390 000 ₽ gross, удалёнка по всему миру

В Точке можно работать по-своему. Никто не будет навязывать свои методы, трекать время и контролировать каждое действие. Ты будешь услышан и сможешь влиять на процессы и стек. 

Больше о задачах и условиях на сайте: 

Middle+ аналитик исследователь:  мы ищем аналитика с опытом исследования рынка
https://tochka.com/hr/it/senior_data_research/

Senior продуктовый аналитик: нам важен опыт работы с финансовыми моделями и юнит-экономикой 
https://tochka.com/hr/it/senior_analytics_financial/


Вопросы по вакансиям можно задать @lenaesina",telegram
data_hr,1135,2025-09-04 08:37:09,"#работа #удаленная_работа #вакансия #Team_Lead #DWH #Архитектор #Лидер #руководитель #BI #ETL #BPM #RPA #аналитика

Позиция: Руководитель отдела архитектуры данных и цифровых процессов
Полная занятость
График: 5/2
Формат работы: гибрид, офис в г. Москва
Компания: 7RedLines
Оформление: ТК РФ
Оклад на руки: 300 000 – 500 000 к
Контактная информация:
Тг: @HR7RedLines
Эл.почта: i.filimonova@7rlines.com


О компании:

ООО «7 Красных Линий» - российский ИТ-интегратор с более чем 10-летним опытом цифровизации бизнеса и госсектора. Мы реализовали 500+ проектов в промышленности, банках, страховании и госструктурах. Среди наших компетенций - построение DWH, внедрение BI-систем, роботизация процессов (RPA), внедрение ERP и импортозамещающих решений. Сегодня мы - один из надёжных партнёров для заказчиков, которым нужны современные и безопасные ИТ-решения.
Ваша миссия
Возглавить отдел архитектуры данных и цифровых процессов, в котором объединены архитектура данных, BI-аналитика и автоматизация процессов. Вы будете формировать стратегию и развивать экспертизу отдела, делая нас лидером на рынке интеграции решений в области Data & BPM/BI.
Чем предстоит заниматься
Возглавить и доукомплектовать команду архитекторов данных, аналитиков, BI-специалистов, инженеров данных и разработчиков.
Разрабатывать и отстаивать архитектурное видение решений: DWH, Data Lake, Data Mesh, BI решений, BPM/RPA-систем.
Определять стандарты проектирования, хранения, интеграции и автоматизации бизнес-процессов.
Управлять проектами по BI и цифровизации: от постановки задач до внедрения дашбордов и KPI-систем.
Разрабатывать архитектурные и стоимостные оценки, участвовать в пресейлах и технических презентациях.
Контролировать качество проектной документации, методологий и финальных решений.
Наставлять команду и развивать экспертизу в области BI и Data Architecture.

Мы ищем того, кто
Имеет опыт руководства командой архитекторов/аналитиков/ инженеров данных /BI-разработчиков от 3–4 лет.
Эксперт в проектировании DWH, ETL/ELT-процессов, уровня витрин и аналитических витрин.
Уверенно владеет BI-платформами (Power BI, Visiology, Pix BI, Qlik) и умеет строить комплексные BI-решения.
Знаком с big data- и интеграционными технологиями (Spark, Kafka, Airflow, NiFi).
Разбирается в BPM/RPA-платформах (Camunda, ELMA365, UiPath, Pix Robotics).
Умеет участвовать в пресейлах, готовить архитектурные решения и оценки для тендеров и конкурсов.
Обладает отличными коммуникативными навыками и умеет вести переговоры на уровне ИТ-директоров и бизнес-заказчиков.
Будет плюсом
Опыт внедрения BI-систем в крупных компаниях.
Понимание Data Governance, Data Quality и MDM.
Опыт работы в интеграторских компаниях или ИТ консалтинге.
Опыт взаимодействия с производителями российских решений перечисленной направленности.
Мы предлагаем
Карт-бланш на развитие экспертизы BI и архитектуры данных в компании.
Работу с крупнейшими заказчиками страны и участие в знаковых проектах.
Полную поддержку руководства компании в ваших инициативах.
Конкурентный доход + премирование при выполнении KPI.
Свободу в выборе инструментов и формировании подходов.
Шанс влиять на развитие рынка отечественных BI и Data-решений",telegram
data_hr,1130,2025-09-02 10:38:45,"#Вакансия #аналитик #Product #Productanalyst #Dataanalyst #Middle #Senior #remote #удаленно #fulltime #весьмир

Продуктовый аналитик

Ищем продуктовых аналитиков в Точку. Точка — это финтех-компания. Мы развиваем онлайн-банк и другие сервисы для бизнеса. Ими пользуются более 600 000 клиентов, а создают больше 4000 сотрудников Точки в России и заграницей.

📍До 400 000 ₽, удалёнка по всему миру

В Точке можно работать по-своему. Никто не будет навязывать свои методы, трекать время и контролировать каждое действие. Ты будешь услышан и сможешь влиять на процессы и стек. 

Больше о задачах и условиях на сайте: 
Middle продуктовый аналитик
https://tochka.com/hr/it/produktovyi-analitik/moskva/

Senior продуктовый аналитик 
https://tochka.com/hr/it/senior_analytics_financial/

Аналитик перфоманс маркетинга
https://tochka.com/hr/it/analitik-perfomans-marketinga/

Вопросы по вакансиям можно задать @lenaesina",telegram
data_hr,1045,2025-05-14 13:05:31,"#вакансия #аналитик #Product #Productanalyst #Senior #AB #remote #удаленно #fulltime #весьмир

Senior продуктовый аналитик

Ищем senior продуктовых аналитиков в Точку. Мы — финтех-компания, создаём онлайн-банк и другие сервисы для предпринимателей и предприятий. Ими пользуются более 700 000 клиентов, а создают больше 4 500 сотрудников в России и за границей. 

📍До 550 000 ₽, удалёнка по всему миру

В Точке можно работать по-своему. Никто не будет навязывать свои методы, трекать время и контролировать каждое действие. Ты будешь услышан и сможешь влиять на процессы и стек. 

Сейчас мы ищем аналитиков сразу в три команды — ты можешь выбрать ту, которая тебе ближе: Тарифы, Нетворк или Продукт для взрослого бизнеса.

Больше о задачах и условиях на сайте

Вопросы по вакансиям можно задать @iana_tochka",telegram
data_hr,1015,2025-03-28 12:11:52,"#вакансия #remote #fulltime

✨ Позиция: Senior Data Engineer 
🏦 Компания: Rusprofile 
💰 Вилка ЗП: от 300.000 до 450.000 на руки (готовы платить выше указанной вилки, если твой опыт отвечает всем нашим ожиданиям) 

Rusprofile — быстрорастущая частная компания, один из лидеров российского рынка RegTech. Наша аудитория — это 10 млн пользователей в месяц и десятки тысяч платящих клиентов, от малого бизнеса до крупных корпораций.
  
Про наш стэк: ClickHouse, Airflow, Kafka, Superset, Mysql, Python, PHP, Docker, Git.


⚙️ Твои задачи будут включать:

1. Погружение в текущую инфраструктуру данных:
- Изучение существующего хранилища данных, структуры и настройки (ClickHouse, MySQL), пайплайнов данных и инструментов (Airflow, Superset, Kafka);
- Погружение в текущие процессы и практики команды.

2. Планирование и определение приоритетов:
- Выявление возможностей для быстрых оптимизаций в текущей инфраструктуре и процессах;
- Разработку плана тактических улучшений текущей инфраструктуры данных на ближайшие 3-4 месяца, совместно с CTO;
- Определение топ приоритетных задач, которые должны быть обязательно закрыты в течение испытательного срока.

3. Перенос инфраструктуры данных на IaC:
- Поиск, выбор внешнего партнера (вероятно flant или express42) и запуск пилотного проекта по переходу на IaC в первые 3 месяца;
- Планирование и начало реализации полного перехода с bare metal на IaC в течение полугода.

4. Взятие на себя ответственности за инфраструктуру данных:
- Стать владельцем текущего стека данных и процессов;
- Обеспечение поддержки и стабильной работы существующей инфраструктуры.

5. Сотрудничество с командами:
- Налаживание эффективного взаимодействия с продуктовой командой, разработчиками и командой инфраструктуры;
- Обеспечение коммуникации и совместной работы над проектами по развитию инфраструктуры данных.


Как понять что ты подойдешь ❓

- Опыт работы от 3 лет в роли Data Engineer;
- Глубокое знание SQL и понимание методик оптимизации запросов;
- Уверенное владение Python;
- Опыт работы с Airflow, Superset, ClickHouse;
- Понимание устройства реляционных и нереляционных баз данных;
- Умение разрабатывать ETL/ELT пайплайны на базе Airflow;
- Навыки мониторинга и отладки пайплайнов обработки данных;
- Умение проектировать архитектуру данных в том числе индексы, партиционирование, шардирование;
- Понимание принципов data quality и data lineage;
- Опыт работы с Docker и контейнеризацией;
- Знание Linux на уровне базового администрирования;
- Опыт работы с Git;
- Умение самостоятельно развертывать и поддерживать сервисы обработки данных;
- Опыт настройки и оптимизации производительности СУБД;
- Базовые навыки практик DevOps;
- Опыт работы с CI/CD.


Что мы предлагаем ❓

- Свободу действий в принятии решений и высокий уровень ответственности - у тебя будет возможность влиять на продукт и строить процессы так, чтобы они помогали бизнесу достигать своих целей;
- Интересный продукт в одном из самых быстрорастущих сегментов рынка во всем мире. У нас большие стратегические планы по развитию стека обработки данных и сейчас очень ранний этап работы с этими планами, есть возможность сразу сделать хорошо почти с нуля;
- Основной бизнес компании - данные. Лучшего применения своим знаниям трудно представить, так как от эффективности и скорости работы с данными напрямую зависит успех;
- Гибкий график и возможность удаленной работы (можно также работать в нашем офисе в Москва-Сити с потрясающим видом на столицу);
- Работу в аккредитованной ИТ компании с полным соблюдением ТК РФ;
- Любую технику для работы;
- ДМС, 7 Day Off, оплату обучения, семинаров и конференций.

Откликнуться сюда 📩 @fuelhett",telegram
data_hr,954,2024-12-03 08:23:01,"✅Senior Data Analyst в крупную  компанию.
Компания рассматривает кандидатов из любых уголков мира, с гражданством России.
З/п: от 250 000 ₽ до 400 000 ₽ (на руки),Формат работы: Офис, Удаленка, Гибрид(мск)Уровень позиции: Senior.
🔷Задачи:Разработка и поддержка интерактивных дашбордов для мониторинга ключевых бизнес-показателей;
Взаимодействие с заказчиками для совместной выработки гипотез, постановки задач и анализа результатов;
Презентация аналитических выводов и рекомендаций для заказчиков с целью их успешного внедрения и повышения понимания;
Настройка и оптимизация ETL-пайплайнов для решения аналитических задач;
Продвижение аналитической культуры в компании: обучение коллег, внедрение лучших практик.
❗Обязательные требования:
Data Analyst от 4 лет;
Подтвержденные успехи во внедрении аналитических решений и их положительном влиянии на бизнес-результаты;
Владение технологическим стеком: Python (sklearn, pandas, numpy), SQL, Git, Docker, Airflow;
Опыт работы с инструментами визуализации данных (Tableau, Power BI, DataLens, Superset);
Навыки создания и внедрения интерактивных дашбордов;
Опыт разработки и оптимизации ETL-пайплайнов.Контакт для связи @fr_rec",telegram
data_hr,921,2024-11-06 15:21:46,"#вакансия #vacancy #job #python #AI #ML #datascientist

Вакансия: Senior Python Data Scientist (FinTech)  

Компания: Paynocchio  
Занятость: Фулл-тайм/Парт-тайм  
Локация: Удаленно  
Вознаграждение: От 500 000 рублей  
Уровень компетенций: Senior  
Контакты для связи: @YuliaValiulina  

Paynocchio — FinTech стартап. Наш продукт — это сложная технологическая платформа на базе AI, которая включает в себя платежный шлюз, кошелёк, карты лояльности, карты кешбэка и многое другое.  

На текущий момент мы на стадии финального тестирования и запуска продукта на рынок Сингапура в сегменте B2B. 

Сейчас перед нами стоит стратегически важная миссия — разработать внутреннюю платформу на базе искусственного интеллекта для генерации документов и решения различных продуктовых и аналитических задач.  

📌С чем предстоит работать:  

- Определить платформу и реализовать скрипт взаимодействия с этой системой, используя наш веб-шлюз и наши серверные мощности.  
- Разработать авторизационную панель для работы с системой внутри компании Paynocchio.  
- Описать скрипт для взаимодействия с искусственным интеллектом.  
- Загрузка критериев модели поведения и работы с нашими решениями, а также всей информации для качественного ответа и сгенерированных документов.  
- Реализация ролевой системы для выполнения узконаправленных запросов на генерацию документа, текста, схемы или иного решения.  
- Обеспечить безопасность входных и выходных данных.  
- Реализация методов загрузки datasets для дальнейшего обучения модели.  

📌Что мы ждем от тебя:  

- Опыт работы на позиции не менее 4 лет.  
- Глубокие знания Python, включая современные подходы к написанию и поддержке кода.  
- Опыт работы с библиотеками и фреймворками для машинного обучения (например: TensorFlow, PyTorch или Hugging Face Transformers).  
- Опыт работы с API для интеграции моделей ИИ (OpenAI API, OpenAI SDK или Copilot API).  
- Опыт в разработке систем обработки естественного языка (NLP).  
- Понимание работы языковых моделей (LLM), принципов их обучения и применения.  
- Опыт предобработки текста, извлечения данных и анализа текстовой информации.  
- Умение работать с различными источниками данных и форматами документов (CSV, JSON, XML, PDF).  
- Гражданство РФ.  
- Уровень английского не ниже B2.  

📌Что мы предлагаем:  

- Конкурентоспособная заработная плата (ориентируемся на твои зарплатные ожидания).  
- Полностью удаленный формат работы. Можешь выбрать любую удобную для себя локацию.  
- Рассматриваем как фулл-тайм сотрудничество на постоянной основе, так и парт-тайм.  
- Работа по американскому календарю, но по часовому поясу МСК.  
- Оформление: ГПХ (РФ), ИП (РФ).  
- Полностью оплачиваемые отпуска и больничные.  
- Выплата вознаграждения в рублях, на карту любого банка РФ.  

Если наш продукт тебе откликается, направляй свое CV мне в Телеграм. Я с радостью с тобой пообщаюсь и отвечу на все интересующие вопросы.",telegram
